STATION,STATION_NAME,DATE,PRCP,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160203,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160204,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160205,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160206,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160207,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160208,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160209,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160211,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160213,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160214,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160215,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160216,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160217,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160218,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160219,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160220,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160221,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160222,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160223,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160224,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160225,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160226,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160227,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160228,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160229,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160301,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160302,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160303,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160304,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160305,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160306,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160307,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160308,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160309,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160310,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160311,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160312,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160313,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160314,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160315,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160316,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160317,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160318,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160319,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160320,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160321,0,
